Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_float_NN,nn_64_64_1024,Gemm_Hipblaslt_NN_32978,0.0125707
GemmTunableOp_float_NN,nn_512_64_512,Gemm_Rocblas_68913,0.00912236
GemmTunableOp_float_NN,nn_64_512_1024,Gemm_Hipblaslt_NN_33000,0.0114927
GemmTunableOp_float_NN,nn_512_2048_1024,Gemm_Rocblas_68894,0.0329302
GemmTunableOp_float_NN,nn_4096_1024_64,Gemm_Rocblas_68871,0.0127195
GemmTunableOp_float_NN,nn_1024_256_64,Gemm_Rocblas_68881,0.00792796
GemmTunableOp_float_NN,nn_256_128_256,Gemm_Rocblas_68907,0.00648676
GemmTunableOp_float_NN,nn_64_2048_2048,Gemm_Hipblaslt_NN_33130,0.0211103
GemmTunableOp_float_NN,nn_256_128_64,Gemm_Rocblas_68894,0.00791276
GemmTunableOp_float_NN,nn_2048_1024_4096,Gemm_Hipblaslt_NN_33102,0.188045
GemmTunableOp_float_NN,nn_128_128_1024,Gemm_Hipblaslt_NN_32978,0.0124095
GemmTunableOp_float_NN,nn_1024_2048_1024,Gemm_Rocblas_68873,0.04963
GemmTunableOp_float_NN,nn_512_512_2048,Gemm_Hipblaslt_NN_34012,0.0267095
GemmTunableOp_float_NN,nn_512_64_2048,Gemm_Hipblaslt_NN_32629,0.0148783
GemmTunableOp_float_NN,nn_1024_128_512,Gemm_Rocblas_68913,0.00952075
GemmTunableOp_float_NN,nn_1024_512_64,Gemm_Rocblas_68905,0.00791596
GemmTunableOp_float_NN,nn_128_64_1024,Gemm_Hipblaslt_NN_32978,0.0122243
GemmTunableOp_float_NN,nn_128_512_128,Gemm_Rocblas_68907,0.00619197
GemmTunableOp_float_NN,nn_512_64_1024,Gemm_Hipblaslt_NN_32978,0.0123547
GemmTunableOp_float_NN,nn_64_64_512,Gemm_Rocblas_68875,0.00897316
GemmTunableOp_float_NN,nn_256_512_1024,Gemm_Hipblaslt_NN_33000,0.0129315
GemmTunableOp_float_NN,nn_128_1024_256,Gemm_Rocblas_68875,0.00683756
GemmTunableOp_float_NN,nn_128_64_64,Gemm_Rocblas_68879,0.00769956
GemmTunableOp_float_NN,nn_64_128_128,Gemm_Rocblas_68903,0.00637677
GemmTunableOp_float_NN,nn_64_2048_64,Gemm_Rocblas_68880,0.00674276
GemmTunableOp_float_NN,nn_256_64_256,Gemm_Rocblas_68875,0.00669277
GemmTunableOp_float_NN,nn_128_128_512,Gemm_Rocblas_68875,0.00904435
GemmTunableOp_float_NN,nn_256_512_256,Gemm_Rocblas_68903,0.00679996
GemmTunableOp_float_NN,nn_256_4096_2048,Gemm_Rocblas_68886,0.0593577
GemmTunableOp_float_NN,nn_4096_512_4096,Gemm_Rocblas_68873,0.200039
GemmTunableOp_float_NN,nn_64_256_1024,Gemm_Hipblaslt_NN_32978,0.0121599
GemmTunableOp_float_NN,nn_64_64_64,Gemm_Rocblas_68875,0.00610998
GemmTunableOp_float_NN,nn_1024_64_64,Gemm_Rocblas_68879,0.00785716
GemmTunableOp_float_NN,nn_256_64_2048,Gemm_Hipblaslt_NN_33329,0.0139799
GemmTunableOp_float_NN,nn_4096_64_1024,Gemm_Rocblas_68913,0.0158607
GemmTunableOp_float_NN,nn_2048_4096_128,Gemm_Rocblas_68870,0.0336189
GemmTunableOp_float_NN,nn_2048_128_1024,Gemm_Rocblas_68913,0.0159355
GemmTunableOp_float_NN,nn_4096_256_256,Gemm_Rocblas_68886,0.0115162
GemmTunableOp_float_NN,nn_128_512_2048,Gemm_Hipblaslt_NN_33008,0.0144599
GemmTunableOp_float_NN,nn_512_64_64,Gemm_Rocblas_68887,0.00770796
GemmTunableOp_float_NN,nn_256_256_64,Gemm_Rocblas_68881,0.00785116
GemmTunableOp_float_NN,nn_4096_64_512,Gemm_Rocblas_68913,0.0102727
GemmTunableOp_float_NN,nn_256_64_64,Gemm_Rocblas_68880,0.00770436
GemmTunableOp_float_NN,nn_4096_64_64,Gemm_Rocblas_68888,0.00734157
GemmTunableOp_float_NN,nn_1024_256_256,Gemm_Rocblas_68875,0.00741236
GemmTunableOp_float_NN,nn_64_128_256,Gemm_Rocblas_68903,0.00657437
GemmTunableOp_float_NN,nn_128_64_4096,Gemm_Hipblaslt_NN_33329,0.0154195
GemmTunableOp_float_NN,nn_1024_64_2048,Gemm_Hipblaslt_NN_33076,0.0150391
GemmTunableOp_float_NN,nn_256_1024_128,Gemm_Rocblas_68907,0.00632637
GemmTunableOp_float_NN,nn_1024_256_4096,Gemm_Hipblaslt_NN_33583,0.0438034
GemmTunableOp_float_NN,nn_4096_128_128,Gemm_Rocblas_68913,0.00699316
GemmTunableOp_float_NN,nn_2048_512_1024,Gemm_Hipblaslt_NN_33178,0.0324452
GemmTunableOp_float_NN,nn_64_64_4096,Gemm_Hipblaslt_NN_33328,0.0140787
GemmTunableOp_float_NN,nn_1024_64_256,Gemm_Rocblas_68903,0.00654236
GemmTunableOp_float_NN,nn_128_256_4096,Gemm_Hipblaslt_NN_33009,0.0153527
